study ID,method 2,h2,SE of h2
66,animal model,0.474,0.099
66,animal model,0.293,0.074
66,animal model,0.124,0.056
66,animal model,0.539,0.054
66,animal model,0.256,0.078
66,animal model,0.633,0.092
66,animal model,0.182,0.071
66,animal model,0.312,0.076
66,animal model,0.542,0.057
66,animal model,0.315,0.047
66,animal model,0.484,0.029
66,animal model,0.197,0.041
66,animal model,0.75,0.046
66,animal model,0.475,0.05
66,animal model,0.406,
67,parent-offspring regression,0.1,0.26
67,parent-offspring regression,0.19,0.17
67,parent-offspring regression,0.46,0.22
67,parent-offspring regression,0.54,0.27
67,parent-offspring regression,0.58,0.26
67,parent-offspring regression,0.63,0.17
67,parent-offspring regression,-0.02,0.66
67,parent-offspring regression,0.31,0.3
67,parent-offspring regression,0.7,0.42
67,parent-offspring regression,0.41,0.2
67,parent-offspring regression,0.42,0.3
67,parent-offspring regression,0.5,0.34
67,parent-offspring regression,0.04,0.16
67,parent-offspring regression,0.14,0.22
67,parent-offspring regression,0.46,0.23
67,parent-offspring regression,0.3,0.13
67,parent-offspring regression,0.5,0.25
67,parent-offspring regression,0.7,0.24
67,parent-offspring regression,-0.06,0.34
67,parent-offspring regression,0.47,0.29
67,parent-offspring regression,0.66,0.36
67,parent-offspring regression,0.28,0.4
67,parent-offspring regression,0.28,0.25
67,parent-offspring regression,0.6,0.38
68,animal model,0.327,0.111
68,animal model,0.442,0.121
68,animal model,0.297,0.076
68,animal model,0.366,0.076
69,parent-offspring regression,0.44,0.14
69,parent-offspring regression,0.56,0.09
69,parent-offspring regression,0.77,0.15
69,parent-offspring regression,0.65,0.15
69,parent-offspring regression,0.72,0.09
69,parent-offspring regression,0.8,0.16
69,parent-offspring regression,0.67,0.15
69,parent-offspring regression,0.79,0.08
69,parent-offspring regression,1.09,0.16
69,parent-offspring regression,0.84,0.15
69,parent-offspring regression,0.97,0.08
69,parent-offspring regression,1.12,0.17
69,parent-offspring regression,0.58,0.13
69,parent-offspring regression,0.67,0.09
69,parent-offspring regression,0.68,0.16
69,parent-offspring regression,0.66,0.18
69,parent-offspring regression,0.79,0.14
69,parent-offspring regression,0.81,0.09
69,parent-offspring regression,0.54,0.14
69,parent-offspring regression,0.66,0.09
69,parent-offspring regression,0.68,0.18
69,parent-offspring regression,0.8,0.22
69,grandparent-offspring regression,0.86,0.4
69,parent-offspring regression,0.91,0.15
69,parent-offspring regression,1.02,0.19
69,parent-offspring regression,1.06,0.19
69,grandparent-offspring regression,1.08,0.36
69,parent-offspring regression,0.76,0.15
69,parent-offspring regression,0.79,0.28
69,parent-offspring regression,0.84,0.08
69,parent-offspring regression,0.89,0.12
69,parent-offspring regression,0.94,0.17
69,parent-offspring regression,1.35,0.22
69,grandparent-offspring regression,0.09,0.21
69,parent-offspring regression,0.33,0.16
69,parent-offspring regression,0.45,0.19
69,parent-offspring regression,0.53,0.1
69,parent-offspring regression,0.58,0.23
69,parent-offspring regression,0.59,0.23
69,parent-offspring regression,0.66,0.25
69,parent-offspring regression,0.79,0.16
69,grandparent-offspring regression,1.4,0.37
69,parent-offspring regression,0.49,0.15
69,parent-offspring regression,0.56,0.1
69,parent-offspring regression,0.6,0.12
69,parent-offspring regression,0.62,0.23
69,parent-offspring regression,0.65,0.17
69,parent-offspring regression,0.84,0.22
69,parent-offspring regression,0.43,0.23
69,parent-offspring regression,0.69,0.18
69,parent-offspring regression,0.79,0.15
69,parent-offspring regression,0.82,0.27
69,parent-offspring regression,0.83,0.16
69,parent-offspring regression,0.83,0.1
69,parent-offspring regression,0.92,0.19
69,grandparent-offspring regression,1.01,0.4
69,grandparent-offspring regression,1.07,0.41
69,parent-offspring regression,0.36,0.32
69,parent-offspring regression,0.56,0.29
69,parent-offspring regression,0.58,0.2
69,parent-offspring regression,0.89,0.25
