"id","dam","sire"
"832571-RNA",NA,NA
"832570-WYO",NA,NA
"832572-MYA",NA,NA
"832573-ABN",NA,NA
"832574-ogogog",NA,NA
"832575-WAN",NA,NA
"832576-GAB",NA,NA
"832578-MMR",NA,NA
"832580-RNY",NA,NA
"832596-RWA",NA,NA
"832595-WYA",NA,NA
"832624-GRG",NA,NA
"M00079-du079",NA,NA
"832800-BGA",NA,NA
"M00084-du084",NA,NA
"M00037-du037",NA,NA
"M00035-du035",NA,NA
"832934-RAM",NA,NA
"832940-goGG",NA,NA
"832943-obBM",NA,NA
"832951-AAN",NA,NA
