ID	Sire	Dam
3366	1849	1170
5052	NA	1171
5057	3893	1171
5055	3398	1171
5056	210	1171
5054	4750	1171
5058	3874	1171
5053	2645	1171
5059	2627	1171
1367	2646	1361
3268	763	1438
1446	2646	1438
1660	4712	1439
4847	955	1440
646	3515	1441
3872	2650	1442
1020	NA	1443
325	1496	1443
1554	250	1444
719	2077	1518
718	NA	1518
3619	1460	1525
3620	NA	1525
3621	NA	1525
1921	2685	1534
1919	NA	1534
1914	5161	1534
1922	1147	1534
1915	NA	1534
1920	4259	1534
1913	4688	1534
1918	NA	1534
1917	2457	1534
1916	701	1534
76	5332	1551
1642	1658	1554
1646	NA	1554
1644	NA	1554
1645	NA	1554
1643	4059	1554
2341	NA	1557
2706	NA	1562
2707	NA	1562
3790	1458	1563
3126	1707	1578
3131	4211	1578
3130	2184	1578
3132	1709	1578
3127	1707	1578
3133	4259	1578
3129	1873	1578
3125	NA	1578
3124	1081	1578
3128	2849	1578
5003	3328	1579
5004	3328	1579
5011	NA	1579
5006	5161	1579
5009	3274	1579
5010	1873	1579
5014	4843	1579
5012	162	1579
5007	701	1579
5013	3965	1579
5001	4259	1579
5005	5161	1579
5008	3274	1579
5002	4688	1579
3176	2685	1580
4860	3617	1585
4862	NA	1585
4861	NA	1585
4857	NA	1585
4859	NA	1585
4858	4849	1585
265	2605	1586
264	1599	1586
4149	3147	1587
399	3226	1589
2510	1021	1606
1607	NA	1608
1606	NA	1608
3264	1147	1616
3263	4843	1616
3258	5161	1616
3261	701	1616
3262	2184	1616
3256	4688	1616
3260	701	1616
3259	4674	1616
3257	3328	1616
3424	4688	1618
3426	4674	1618
3430	162	1618
3427	3274	1618
3423	4259	1618
3428	3274	1618
3425	5161	1618
3429	1873	1618
3887	4688	1619
2786	1467	1629
2780	NA	1629
2781	NA	1629
2784	NA	1629
2785	NA	1629
2779	2899	1629
2787	NA	1629
2782	5288	1629
2783	NA	1629
1673	NA	1631
1675	1058	1631
1674	484	1631
1676	1513	1631
1653	NA	1634
4973	NA	1636
4974	NA	1636
4972	NA	1636
4971	NA	1636
675	NA	1661
674	48	1661
1998	NA	1667
1996	2605	1667
1997	3132	1667
2367	257	1687
2361	3528	1687
2363	4839	1687
2364	2347	1687
2362	2538	1687
2365	257	1687
2366	4552	1687
4987	NA	1696
4986	1462	1696
4380	3057	1704
4386	NA	1704
4381	3497	1704
4384	NA	1704
4383	1147	1704
4382	NA	1704
4385	184	1704
1401	NA	1704
2312	NA	1708
2313	2302	1708
4075	2376	1710
4079	2213	1710
4074	4688	1710
4076	2477	1710
4078	4501	1710
4080	5186	1710
4077	3894	1710
1845	NA	1715
1846	1925	1715
1844	484	1715
1847	505	1715
1843	NA	1715
4582	NA	1725
4583	NA	1725
4585	NA	1725
4584	NA	1725
4581	NA	1725
4586	NA	1725
465	NA	1726
464	NA	1726
462	NA	1726
466	1499	1726
468	NA	1726
461	NA	1726
467	NA	1726
463	NA	1726
2444	NA	1728
2440	NA	1728
2441	NA	1728
2443	2899	1728
2439	NA	1728
2445	NA	1728
2442	NA	1728
1727	NA	1731
1728	NA	1731
