"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","group","litter","DamCohort"
"190",0,0,0.25,0,-0.00702908315924706,-0.0187169376305016,1042,51,12,28,63,352
"191",0,0,0.25,0,-0.00702908315924706,-0.0187169376305016,1049,51,12,28,63,352
"192",0,0,0.25,0,-0.00702908315924706,-0.0187169376305016,1060,51,12,28,160,352
"193",4,0.0625,0.25,0,-0.00361112741103219,-0.0200879142906419,1070,22,13,28,66,252
"194",3,0.0625,0.25,0,-0.00361112741103219,-0.0200879142906419,1080,22,13,28,66,252
"195",0,0.078125,0.1875,0,-0.00361112741103219,-0.0200879142906419,1091,51,13,28,162,353
"196",0,0.0400390625,0.3125,0,-0.00361112741103219,-0.0200879142906419,1101,22,13,28,67,252
"197",0,0.0400390625,0.3125,0,-0.000193171662817315,-0.0202311406180255,1112,22,14,28,68,253
"198",4,0.03759765625,0.3125,0,-0.000193171662817315,-0.0202311406180255,1123,23,14,28,69,261
"199",0,0.03759765625,0.3125,0,-0.000193171662817315,-0.0202311406180255,1134,23,14,28,69,261
"200",0,0,0.25,1,-0.0172829504038917,-0.00723750565354033,1145,51,9,28,156,349
"201",0,0,0.25,1,-0.0172829504038917,-0.00723750565354033,1151,51,9,28,156,349
"202",0,0,0.75,1,-0.0138649946556768,-0.0122917333119508,1154,52,10,28,164,354
"203",0,0,0.5,1,-0.0138649946556768,-0.0122917333119508,1158,52,10,28,164,354
"204",0,0,0.25,1,-0.0138649946556768,-0.0122917333119508,1160,51,10,28,157,350
"205",0,0,0.25,1,-0.0138649946556768,-0.0122917333119508,1164,51,10,28,157,350
"206",0,0,0.25,1,-0.0138649946556768,-0.0122917333119508,1167,51,10,28,158,350
"207",0,0,0.25,1,-0.0104470389074619,-0.0161182106376045,1170,51,11,28,159,351
"208",0,0,0,1,-0.00702908315924706,-0.0187169376305016,1171,51,12,28,64,352
"209",0,0,0,1,-0.00702908315924706,-0.0187169376305016,1173,51,12,28,64,352
"210",0,0,0.25,1,-0.00702908315924706,-0.0187169376305016,1174,51,12,28,64,352
"211",0,0,0.25,1,-0.00702908315924706,-0.0187169376305016,1175,51,12,28,64,352
"212",0,0,0.25,1,-0.00702908315924706,-0.0187169376305016,1176,51,12,28,63,352
"213",0,0,0.25,1,-0.00702908315924706,-0.0187169376305016,1178,51,12,28,63,352
"214",0,0,0.25,1,-0.00702908315924706,-0.0187169376305016,1179,51,12,28,160,352
"215",0,0,0.25,1,-0.00702908315924706,-0.0187169376305016,1180,51,12,28,160,352
"216",0,0,0.25,1,-0.00702908315924706,-0.0187169376305016,1181,51,12,28,160,352
"217",0,0.0625,0.25,1,-0.00361112741103219,-0.0200879142906419,1190,22,13,28,66,252
"218",0,0.0625,0.25,1,-0.00361112741103219,-0.0200879142906419,1201,22,13,28,66,252
